filepath,line_number,start_index,end_index,name
basic_examples/extra_stuff.py,2,7,9,os
basic_examples/extra_stuff.py,6,3,5,os
basic_examples/extra_stuff.py,6,6,10,name
basic_examples/extra_stuff.py,8,4,13,say_hello
basic_examples/extra_stuff.py,9,6,15,say_hello
basic_examples/extra_stuff.py,12,6,14,Employee
basic_examples/extra_stuff.py,14,6,13,__str__
basic_examples/extra_stuff.py,14,14,18,self
basic_examples/extra_stuff.py,15,11,15,self
basic_examples/extra_stuff.py,15,16,20,name
basic_examples/extra_stuff.py,15,29,32,str
basic_examples/extra_stuff.py,15,33,37,self
basic_examples/extra_stuff.py,15,38,44,salary
basic_examples/extra_stuff.py,17,6,14,__init__
basic_examples/extra_stuff.py,17,15,19,self
basic_examples/extra_stuff.py,17,21,25,name
basic_examples/extra_stuff.py,17,27,33,salary
basic_examples/extra_stuff.py,18,4,8,self
basic_examples/extra_stuff.py,18,9,13,name
basic_examples/extra_stuff.py,18,16,20,name
basic_examples/extra_stuff.py,19,4,8,self
basic_examples/extra_stuff.py,19,9,15,salary
basic_examples/extra_stuff.py,19,18,24,salary
basic_examples/extra_stuff.py,22,0,9,employees
basic_examples/extra_stuff.py,23,0,9,employees
basic_examples/extra_stuff.py,23,10,16,append
basic_examples/extra_stuff.py,23,17,25,Employee
basic_examples/extra_stuff.py,24,0,9,employees
basic_examples/extra_stuff.py,24,10,16,append
basic_examples/extra_stuff.py,24,17,25,Employee
basic_examples/extra_stuff.py,25,0,9,employees
basic_examples/extra_stuff.py,25,10,16,append
basic_examples/extra_stuff.py,25,17,25,Employee
basic_examples/extra_stuff.py,29,0,17,sal_more_than_40k
basic_examples/extra_stuff.py,29,21,22,e
basic_examples/extra_stuff.py,29,27,28,e
basic_examples/extra_stuff.py,29,32,41,employees
basic_examples/extra_stuff.py,29,45,46,e
basic_examples/extra_stuff.py,29,47,53,salary
basic_examples/extra_stuff.py,30,19,22,str
basic_examples/extra_stuff.py,30,23,26,len
basic_examples/extra_stuff.py,30,27,44,sal_more_than_40k
basic_examples/extra_stuff.py,31,4,7,emp
basic_examples/extra_stuff.py,31,11,28,sal_more_than_40k
basic_examples/extra_stuff.py,32,8,11,emp
basic_examples/extra_stuff.py,35,0,17,sal_more_than_30k
basic_examples/extra_stuff.py,35,20,26,filter
basic_examples/extra_stuff.py,35,34,35,e
basic_examples/extra_stuff.py,35,38,39,e
basic_examples/extra_stuff.py,35,40,46,salary
basic_examples/extra_stuff.py,35,56,65,employees
basic_examples/extra_stuff.py,36,19,22,str
basic_examples/extra_stuff.py,36,23,26,len
basic_examples/extra_stuff.py,36,27,44,sal_more_than_30k
basic_examples/extra_stuff.py,37,4,7,emp
basic_examples/extra_stuff.py,37,11,28,sal_more_than_30k
basic_examples/extra_stuff.py,38,8,11,emp
basic_examples/extra_stuff.py,42,6,10,repr
basic_examples/extra_stuff.py,42,11,28,sal_more_than_30k
basic_examples/extra_stuff.py,44,0,4,eval
basic_examples/extra_stuff.py,44,5,9,repr
basic_examples/extra_stuff.py,44,10,27,sal_more_than_30k
